,player,squad,variable,value,Unnamed: 0,index,club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,player_id
92,Jack Harrison,Leeds United,passes_crosses,0.7244094488188977,121,22497,Leeds United,Jack Harrison,24.0,Left Winger,Man City,€12.80m,in,Summer,12.8,Premier League,2021,2021/2022,54
93,Jack Harrison,Leeds United,pressures,0.7601809954751131,121,22497,Leeds United,Jack Harrison,24.0,Left Winger,Man City,€12.80m,in,Summer,12.8,Premier League,2021,2021/2022,54
94,Jack Harrison,Leeds United,tot_def,0.56,121,22497,Leeds United,Jack Harrison,24.0,Left Winger,Man City,€12.80m,in,Summer,12.8,Premier League,2021,2021/2022,54
95,Jadon Sancho,Manchester Utd,sca,0.5466666666666666,128,22586,Manchester United,Jadon Sancho,21.0,Left Winger,Bor. Dortmund,€85.00m,in,Summer,85.0,Premier League,2021,2021/2022,97
96,Jadon Sancho,Manchester Utd,passes_under_pressure,0.3620689655172414,128,22586,Manchester United,Jadon Sancho,21.0,Left Winger,Bor. Dortmund,€85.00m,in,Summer,85.0,Premier League,2021,2021/2022,97
97,Jadon Sancho,Manchester Utd,passes_key,0.4606741573033708,128,22586,Manchester United,Jadon Sancho,21.0,Left Winger,Bor. Dortmund,€85.00m,in,Summer,85.0,Premier League,2021,2021/2022,97
98,Jadon Sancho,Manchester Utd,dribble_success,0.34285714285714286,128,22586,Manchester United,Jadon Sancho,21.0,Left Winger,Bor. Dortmund,€85.00m,in,Summer,85.0,Premier League,2021,2021/2022,97
99,Jadon Sancho,Manchester Utd,touches,0.3209477652127087,128,22586,Manchester United,Jadon Sancho,21.0,Left Winger,Bor. Dortmund,€85.00m,in,Summer,85.0,Premier League,2021,2021/2022,97
100,Joe Willock,Newcastle Utd,sca,0.30666666666666664,131,22613,Newcastle United,Joe Willock,21.0,Central Midfield,Arsenal,€29.40m,in,Summer,29.4,Premier League,2021,2021/2022,81
101,Joe Willock,Newcastle Utd,passes_under_pressure,0.2521551724137931,131,22613,Newcastle United,Joe Willock,21.0,Central Midfield,Arsenal,€29.40m,in,Summer,29.4,Premier League,2021,2021/2022,81
102,Joe Willock,Newcastle Utd,pressures,0.5339366515837104,131,22613,Newcastle United,Joe Willock,21.0,Central Midfield,Arsenal,€29.40m,in,Summer,29.4,Premier League,2021,2021/2022,81
103,Joe Willock,Newcastle Utd,tot_def,0.49777777777777776,131,22613,Newcastle United,Joe Willock,21.0,Central Midfield,Arsenal,€29.40m,in,Summer,29.4,Premier League,2021,2021/2022,81
104,Joe Willock,Newcastle Utd,touches,0.22670974690360796,131,22613,Newcastle United,Joe Willock,21.0,Central Midfield,Arsenal,€29.40m,in,Summer,29.4,Premier League,2021,2021/2022,81
105,Junior Firpo,Leeds United,sca,0.2866666666666667,120,22496,Leeds United,Junior Firpo,24.0,Left-Back,Barcelona,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
106,Junior Firpo,Leeds United,passes_under_pressure,0.28663793103448276,120,22496,Leeds United,Junior Firpo,24.0,Left-Back,Barcelona,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
107,Junior Firpo,Leeds United,pressures,0.4660633484162896,120,22496,Leeds United,Junior Firpo,24.0,Left-Back,Barcelona,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
108,Junior Firpo,Leeds United,tot_def,0.48,120,22496,Leeds United,Junior Firpo,24.0,Left-Back,Barcelona,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
109,Junior Firpo,Leeds United,touches,0.31260096930533116,120,22496,Leeds United,Junior Firpo,24.0,Left-Back,Barcelona,€15.00m,in,Summer,15.0,Premier League,2021,2021/2022,58
110,Martin Ødegaard,Arsenal,sca,0.8933333333333333,91,22293,Arsenal FC,Martin Ødegaard,22.0,Attacking Midfield,Real Madrid,€35.00m,in,Summer,35.0,Premier League,2021,2021/2022,89
111,Martin Ødegaard,Arsenal,passes_under_pressure,0.5323275862068966,91,22293,Arsenal FC,Martin Ødegaard,22.0,Attacking Midfield,Real Madrid,€35.00m,in,Summer,35.0,Premier League,2021,2021/2022,89
112,Martin Ødegaard,Arsenal,passes_progressive,0.5683453237410072,91,22293,Arsenal FC,Martin Ødegaard,22.0,Attacking Midfield,Real Madrid,€35.00m,in,Summer,35.0,Premier League,2021,2021/2022,89
113,Martin Ødegaard,Arsenal,passes_key,0.8539325842696629,91,22293,Arsenal FC,Martin Ødegaard,22.0,Attacking Midfield,Real Madrid,€35.00m,in,Summer,35.0,Premier League,2021,2021/2022,89
114,Martin Ødegaard,Arsenal,pressures,0.6968325791855203,91,22293,Arsenal FC,Martin Ødegaard,22.0,Attacking Midfield,Real Madrid,€35.00m,in,Summer,35.0,Premier League,2021,2021/2022,89
115,Milot Rashica,Norwich City,sca,0.37333333333333335,133,22627,Norwich City,Milot Rashica,25.0,Right Winger,Werder Bremen,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49
116,Milot Rashica,Norwich City,passes_crosses,0.6299212598425197,133,22627,Norwich City,Milot Rashica,25.0,Right Winger,Werder Bremen,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49
117,Milot Rashica,Norwich City,passes_key,0.4157303370786517,133,22627,Norwich City,Milot Rashica,25.0,Right Winger,Werder Bremen,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49
118,Milot Rashica,Norwich City,pressures,0.42081447963800905,133,22627,Norwich City,Milot Rashica,25.0,Right Winger,Werder Bremen,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49
119,Milot Rashica,Norwich City,tot_def,0.37333333333333335,133,22627,Norwich City,Milot Rashica,25.0,Right Winger,Werder Bremen,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49
120,Milot Rashica,Norwich City,touches,0.25551965535810445,133,22627,Norwich City,Milot Rashica,25.0,Right Winger,Werder Bremen,€11.00m,in,Summer,11.0,Premier League,2021,2021/2022,49
121,Moussa Sissoko,Watford,sca,0.41333333333333333,150,22723,Watford FC,Moussa Sissoko,32.0,Central Midfield,Spurs,€3.50m,in,Summer,3.5,Premier League,2021,2021/2022,18
122,Moussa Sissoko,Watford,passes_under_pressure,0.4978448275862069,150,22723,Watford FC,Moussa Sissoko,32.0,Central Midfield,Spurs,€3.50m,in,Summer,3.5,Premier League,2021,2021/2022,18
123,Moussa Sissoko,Watford,pressures,0.7239819004524887,150,22723,Watford FC,Moussa Sissoko,32.0,Central Midfield,Spurs,€3.50m,in,Summer,3.5,Premier League,2021,2021/2022,18
124,Moussa Sissoko,Watford,tot_def,0.6088888888888889,150,22723,Watford FC,Moussa Sissoko,32.0,Central Midfield,Spurs,€3.50m,in,Summer,3.5,Premier League,2021,2021/2022,18
125,Moussa Sissoko,Watford,aerial_won,0.49707602339181284,150,22723,Watford FC,Moussa Sissoko,32.0,Central Midfield,Spurs,€3.50m,in,Summer,3.5,Premier League,2021,2021/2022,18
126,Ozan Tufan,Watford,sca,0.04666666666666667,151,22724,Watford FC,Ozan Tufan,26.0,Central Midfield,Fenerbahce,Loan fee:€1.00m,in,Summer,1.0,Premier League,2021,2021/2022,3
127,Ozan Tufan,Watford,passes_under_pressure,0.06465517241379311,151,22724,Watford FC,Ozan Tufan,26.0,Central Midfield,Fenerbahce,Loan fee:€1.00m,in,Summer,1.0,Premier League,2021,2021/2022,3
128,Ozan Tufan,Watford,passes_key,0.0449438202247191,151,22724,Watford FC,Ozan Tufan,26.0,Central Midfield,Fenerbahce,Loan fee:€1.00m,in,Summer,1.0,Premier League,2021,2021/2022,3
129,Ozan Tufan,Watford,pressures,0.04072398190045249,151,22724,Watford FC,Ozan Tufan,26.0,Central Midfield,Fenerbahce,Loan fee:€1.00m,in,Summer,1.0,Premier League,2021,2021/2022,3
130,Ozan Tufan,Watford,touches,0.04065697361335487,151,22724,Watford FC,Ozan Tufan,26.0,Central Midfield,Fenerbahce,Loan fee:€1.00m,in,Summer,1.0,Premier League,2021,2021/2022,3
131,Pierre Lees-Melou,Norwich City,sca,0.3466666666666667,139,22633,Norwich City,Pierre Lees-Melou,28.0,Central Midfield,OGC Nice,€3.90m,in,Summer,3.9,Premier League,2021,2021/2022,20
132,Pierre Lees-Melou,Norwich City,passes_under_pressure,0.4051724137931034,139,22633,Norwich City,Pierre Lees-Melou,28.0,Central Midfield,OGC Nice,€3.90m,in,Summer,3.9,Premier League,2021,2021/2022,20
133,Pierre Lees-Melou,Norwich City,passes_progressive,0.35611510791366907,139,22633,Norwich City,Pierre Lees-Melou,28.0,Central Midfield,OGC Nice,€3.90m,in,Summer,3.9,Premier League,2021,2021/2022,20
134,Pierre Lees-Melou,Norwich City,pressures,0.7330316742081447,139,22633,Norwich City,Pierre Lees-Melou,28.0,Central Midfield,OGC Nice,€3.90m,in,Summer,3.9,Premier League,2021,2021/2022,20
