"player","squad","played_per90","pos","goals","assists","gca","sca","passes_under_pressure","passes_crosses","passes_progressive","passes_key","pressures","tot_def","clearances","aerial_won","dribble_success","touches","saves","clean_sheets","passes_40yds_completed","crosses_stopped","outside_area_sweep"
"Aaron Connolly","Brighton",1.7,"FW",0,0,0,2,6,1,0,1,5,2,0,0,0,34,NULL,NULL,NULL,NULL,NULL
"Aaron Cresswell","West Ham",30.3,"DF",2,3,5,49,209,63,155,35,67,110,76,36,3,2291,NULL,NULL,NULL,NULL,NULL
"Aaron Lennon","Burnley",17.2,"MF",2,0,5,32,64,30,17,10,83,65,13,10,15,564,NULL,NULL,NULL,NULL,NULL
"Aaron Ramsdale","Arsenal",34,"GK",0,0,1,1,88,0,1,0,0,0,2,0,2,1249,84,12,176,21,35
"Aaron Wan-Bissaka","Manchester Utd",19.9,"DF",0,0,1,31,140,22,53,14,64,132,48,19,36,1363,NULL,NULL,NULL,NULL,NULL
"Abdoulaye Doucouré","Everton",28.2,"MF",2,4,7,53,248,8,91,21,179,128,33,44,19,1389,NULL,NULL,NULL,NULL,NULL
"Adam Armstrong","Southampton",15.7,"FW",2,2,3,29,65,22,26,12,64,26,6,14,19,489,NULL,NULL,NULL,NULL,NULL
"Adam Forshaw","Leeds United",17,"MF",0,1,1,27,123,5,61,13,124,77,20,14,9,973,NULL,NULL,NULL,NULL,NULL
"Adam Idah","Norwich City",6.9,"FWMF",1,1,1,12,44,11,7,4,23,14,8,16,12,235,NULL,NULL,NULL,NULL,NULL
"Adam Lallana","Brighton",17.3,"MF",0,1,3,27,165,8,59,8,105,75,15,14,19,1120,NULL,NULL,NULL,NULL,NULL
"Adam Masina","Watford",12,"DF",0,1,1,11,69,18,32,8,45,74,41,30,8,668,NULL,NULL,NULL,NULL,NULL
"Adam Webster","Brighton",15.9,"DF",2,0,1,10,137,4,73,1,45,73,80,66,7,1314,NULL,NULL,NULL,NULL,NULL
"Adama Traoré","Wolves",11.9,"FW",1,0,2,50,74,28,23,19,42,21,2,12,61,497,NULL,NULL,NULL,NULL,NULL
"Ademola Lookman","Leicester City",16.1,"FWMF",6,0,2,40,125,22,49,22,98,71,2,4,40,794,NULL,NULL,NULL,NULL,NULL
"Ainsley Maitland-Niles","Arsenal",3,"MF",0,0,0,8,22,1,13,3,17,12,4,5,2,171,NULL,NULL,NULL,NULL,NULL
"Albert Sambi Lokonga","Arsenal",12.6,"MF",0,0,0,34,116,3,61,18,47,54,18,21,4,930,NULL,NULL,NULL,NULL,NULL
"Alejandro Garnacho","Manchester Utd",0.1,"FW",0,0,0,0,2,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL
"Alex Iwobi","Everton",22.6,"MFDF",2,2,6,62,137,30,79,35,153,113,23,9,32,1052,NULL,NULL,NULL,NULL,NULL
"Alex Král","West Ham",0,"MF",0,0,0,0,2,0,0,0,2,0,0,1,0,2,NULL,NULL,NULL,NULL,NULL
"Alex McCarthy","Southampton",17,"GK",0,0,0,1,30,0,0,1,0,0,0,0,0,546,43,5,83,17,3
"Alex Oxlade-Chamberlain","Liverpool",8.7,"MFFW",2,1,1,21,63,22,45,9,63,33,7,5,10,503,NULL,NULL,NULL,NULL,NULL
"Alex Telles","Manchester Utd",18.4,"DF",0,4,5,45,142,63,60,27,60,92,53,31,12,1379,NULL,NULL,NULL,NULL,NULL
"Alexandre Lacazette","Arsenal",19.8,"FWMF",4,7,9,65,99,7,37,24,108,45,6,22,17,664,NULL,NULL,NULL,NULL,NULL
"Alexis Mac Allister","Brighton",23.6,"MFFW",5,2,4,65,186,20,108,27,199,119,20,29,18,1400,NULL,NULL,NULL,NULL,NULL
"Alisson","Liverpool",36,"GK",0,1,1,3,96,0,0,2,3,1,1,0,2,1462,73,20,187,21,63
"Allan","Everton",24.3,"MF",0,2,6,32,156,6,106,15,204,149,40,12,16,1235,NULL,NULL,NULL,NULL,NULL
"Allan Saint-Maximin","Newcastle Utd",31.2,"FWMF",5,5,9,114,174,69,56,51,67,44,2,19,140,1222,NULL,NULL,NULL,NULL,NULL
"Alphonse Areola","West Ham",1,"GK",0,0,0,0,6,0,0,0,0,0,0,0,0,42,2,0,8,1,0
"Álvaro Fernández","Brentford",12,"GK",0,0,0,0,34,0,1,0,0,0,0,0,0,533,46,1,82,7,10
"André Gomes","Everton",6.9,"MF",0,1,2,13,46,3,21,4,51,33,3,6,12,372,NULL,NULL,NULL,NULL,NULL
"Andreas Christensen","Chelsea",16.6,"DF",0,0,0,8,149,2,69,5,51,94,87,60,6,1451,NULL,NULL,NULL,NULL,NULL
"Andrew Omobamidele","Norwich City",4.2,"DF",1,0,0,0,27,0,13,0,14,23,17,6,0,276,NULL,NULL,NULL,NULL,NULL
"Andrew Robertson","Liverpool",28.2,"DF",3,10,16,95,165,89,198,55,86,109,58,33,16,2536,NULL,NULL,NULL,NULL,NULL
"Andriy Yarmolenko","West Ham",3.5,"FW",1,0,0,7,18,5,8,3,12,6,1,4,3,149,NULL,NULL,NULL,NULL,NULL
"Andros Townsend","Everton",16.2,"MF",3,2,4,54,95,56,46,30,98,80,6,5,24,715,NULL,NULL,NULL,NULL,NULL
"Angelo Ogbonna","West Ham",10.2,"DF",1,0,1,2,41,0,10,0,16,28,38,26,0,528,NULL,NULL,NULL,NULL,NULL
"Angus Gunn","Norwich City",9,"GK",0,0,0,0,12,0,0,0,0,0,1,0,0,331,34,1,59,7,7
"Anthony Elanga","Manchester Utd",13.5,"FW",2,2,5,18,104,16,15,8,80,60,6,27,15,622,NULL,NULL,NULL,NULL,NULL
"Anthony Gordon","Everton",25.4,"MFFW",4,2,5,73,141,71,55,34,154,130,8,18,44,1154,NULL,NULL,NULL,NULL,NULL
"Anthony Martial","Manchester Utd",2.4,"FW",1,0,2,3,16,5,8,1,11,5,2,5,5,110,NULL,NULL,NULL,NULL,NULL
"Antonio Rüdiger","Chelsea",33.7,"DF",3,0,8,39,239,14,161,13,92,112,110,67,6,2759,NULL,NULL,NULL,NULL,NULL
"Anwar El Ghazi","Everton",0.1,"FW",0,0,0,0,2,1,0,0,3,4,0,0,0,14,NULL,NULL,NULL,NULL,NULL
"Anwar El Ghazi","Aston Villa",4.3,"FWMF",1,1,2,11,23,11,7,4,18,10,2,11,3,183,NULL,NULL,NULL,NULL,NULL
"Armando Broja","Southampton",21.9,"FW",6,0,3,37,146,19,18,8,112,47,8,94,31,697,NULL,NULL,NULL,NULL,NULL
"Arthur Masuaku","West Ham",7.2,"DFFW",1,1,2,6,54,20,24,3,39,47,16,13,5,475,NULL,NULL,NULL,NULL,NULL
"Ashley Barnes","Burnley",9,"FW",1,0,1,21,90,4,19,10,35,22,4,41,4,311,NULL,NULL,NULL,NULL,NULL
"Ashley Fletcher","Watford",0.3,"FW",0,0,0,2,5,0,1,0,1,3,0,2,0,15,NULL,NULL,NULL,NULL,NULL
"Ashley Westwood","Burnley",25.4,"MF",0,3,7,55,148,37,107,31,92,85,20,10,11,1405,NULL,NULL,NULL,NULL,NULL
"Ashley Young","Aston Villa",13.9,"DFFW",0,2,4,22,81,29,34,12,35,49,24,12,7,753,NULL,NULL,NULL,NULL,NULL
"Asmir Begović","Everton",3,"GK",0,0,0,0,4,0,0,0,0,0,2,0,0,96,11,1,21,3,0
"Axel Tuanzebe","Aston Villa",5.6,"DF",0,0,0,1,22,1,6,0,13,20,13,12,0,263,NULL,NULL,NULL,NULL,NULL
"Aymeric Laporte","Manchester City",31.4,"DF",4,0,4,30,202,5,198,9,63,74,78,73,3,3059,NULL,NULL,NULL,NULL,NULL
"Ayoze Pérez","Leicester City",4.9,"MFFW",2,3,2,18,50,4,20,9,33,26,3,8,8,244,NULL,NULL,NULL,NULL,NULL
"Bali Mumba","Norwich City",0.5,"DF",0,0,0,0,3,0,1,0,3,3,5,0,0,19,NULL,NULL,NULL,NULL,NULL
"Ben Chilwell","Chelsea",6,"DF",3,1,1,21,53,10,13,10,31,21,15,8,2,422,NULL,NULL,NULL,NULL,NULL
"Ben Davies","Tottenham",28.2,"DF",1,1,4,29,169,9,117,8,86,102,93,77,8,1854,NULL,NULL,NULL,NULL,NULL
"Ben Foster","Watford",26,"GK",0,1,1,7,61,0,0,2,1,0,6,0,0,926,63,4,227,16,24
"Ben Gibson","Norwich City",27.7,"DF",0,0,1,11,147,0,78,2,51,121,159,67,2,1598,NULL,NULL,NULL,NULL,NULL
"Ben Godfrey","Everton",22.5,"DF",0,0,2,31,87,14,39,13,89,122,98,51,6,1062,NULL,NULL,NULL,NULL,NULL
"Ben Johnson","West Ham",15.5,"DF",1,0,2,16,74,40,50,9,61,90,49,18,9,942,NULL,NULL,NULL,NULL,NULL
"Ben Mee","Burnley",20.4,"DF",3,0,0,8,122,3,47,2,39,91,122,92,4,974,NULL,NULL,NULL,NULL,NULL
"Ben White","Arsenal",32,"DF",0,0,1,25,193,4,90,9,82,143,114,68,7,2111,NULL,NULL,NULL,NULL,NULL
"Benjamin Mendy","Manchester City",0.9,"DF",0,0,0,4,1,4,8,2,2,1,3,2,1,94,NULL,NULL,NULL,NULL,NULL
"Bernardo Silva","Manchester City",31.7,"MFFW",8,4,13,126,251,65,87,54,143,98,26,14,50,2243,NULL,NULL,NULL,NULL,NULL
"Bernd Leno","Arsenal",4,"GK",0,0,0,0,10,0,0,0,0,0,0,0,0,125,9,1,16,2,1
"Bertrand Traoré","Aston Villa",2.4,"MFFW",0,0,2,11,15,6,10,0,5,0,1,5,10,125,NULL,NULL,NULL,NULL,NULL
"Billy Gilmour","Norwich City",20.6,"MF",0,1,1,48,139,19,93,25,101,78,32,12,15,1399,NULL,NULL,NULL,NULL,NULL
"Boubakary Soumaré","Leicester City",12.2,"MF",0,1,2,15,129,5,39,5,62,43,19,29,9,692,NULL,NULL,NULL,NULL,NULL
"Brandon Williams","Norwich City",23.6,"DF",0,1,2,31,154,18,82,19,81,141,47,22,16,1419,NULL,NULL,NULL,NULL,NULL
"Bruno Fernandes","Manchester Utd",34.6,"MF",10,6,10,145,344,82,196,88,172,112,40,23,23,2422,NULL,NULL,NULL,NULL,NULL
"Bruno Guimarães","Newcastle Utd",11.5,"MF",5,1,3,24,138,9,34,13,89,85,9,6,17,716,NULL,NULL,NULL,NULL,NULL
"Bryan","Tottenham",1,"FWMF",0,0,1,5,7,4,2,2,12,5,0,0,3,82,NULL,NULL,NULL,NULL,NULL
"Bryan Mbeumo","Brentford",32.3,"FW",4,7,12,77,164,54,49,36,138,86,21,34,35,1221,NULL,NULL,NULL,NULL,NULL
"Bukayo Saka","Arsenal",33.1,"FWMF",11,7,16,142,240,72,73,65,134,95,19,30,49,1671,NULL,NULL,NULL,NULL,NULL
"Çağlar Söyüncü","Leicester City",27.7,"DF",1,0,0,11,195,5,53,3,93,136,139,99,6,2135,NULL,NULL,NULL,NULL,NULL
"Callum Hudson-Odoi","Chelsea",10.7,"FWMF",1,2,6,51,77,26,31,24,38,24,5,5,19,505,NULL,NULL,NULL,NULL,NULL
"Callum Wilson","Newcastle Utd",15.4,"FW",8,0,0,20,64,5,7,10,43,19,12,30,14,366,NULL,NULL,NULL,NULL,NULL
"Calum Chambers","Arsenal",1.9,"DF",0,0,0,1,10,2,9,1,5,15,7,3,0,122,NULL,NULL,NULL,NULL,NULL
"Calum Chambers","Aston Villa",9.2,"DF",1,0,1,13,47,2,24,2,31,43,59,29,1,570,NULL,NULL,NULL,NULL,NULL
"Cameron Archer","Aston Villa",0.3,"MFFW",0,0,0,0,1,0,3,0,0,1,1,1,1,12,NULL,NULL,NULL,NULL,NULL
"Caoimhín Kelleher","Liverpool",2,"GK",0,0,0,0,14,0,0,0,0,0,0,0,0,94,5,1,8,0,3
"Carney Chukwuemeka","Aston Villa",3.3,"MFFW",0,1,1,4,19,0,3,2,25,9,1,5,3,160,NULL,NULL,NULL,NULL,NULL
"Cédric Soares","Arsenal",16.5,"DF",1,1,2,36,104,62,51,18,68,64,35,22,7,1254,NULL,NULL,NULL,NULL,NULL
"Cenk Tosun","Everton",0.1,"FW",0,0,0,0,0,0,0,0,0,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL
"César Azpilicueta","Chelsea",23,"DF",1,2,8,44,158,37,124,18,104,130,71,52,15,1958,NULL,NULL,NULL,NULL,NULL
"Charlie Cresswell","Leeds United",1.6,"DF",0,0,0,1,8,0,5,0,5,9,10,7,1,120,NULL,NULL,NULL,NULL,NULL
"Charlie Goode","Brentford",5,"DF",0,0,0,12,26,14,12,7,15,15,12,19,5,337,NULL,NULL,NULL,NULL,NULL
"Charlie Taylor","Burnley",30.3,"DF",0,3,6,41,188,67,79,20,62,191,84,66,28,1740,NULL,NULL,NULL,NULL,NULL
"Che Adams","Southampton",22.7,"FW",7,3,4,51,137,11,35,26,87,44,15,56,14,766,NULL,NULL,NULL,NULL,NULL
"Cheikhou Kouyaté","Crystal Palace",21.9,"MF",0,1,1,17,125,5,43,4,115,138,54,56,13,1064,NULL,NULL,NULL,NULL,NULL
"Chem Campbell","Wolves",0.1,"MF",0,0,0,0,3,0,0,0,1,1,0,0,0,12,NULL,NULL,NULL,NULL,NULL
"Chiquinho","Wolves",2.3,"DFMF",0,3,3,10,15,21,10,5,14,15,3,5,8,153,NULL,NULL,NULL,NULL,NULL
"Chris Wood","Burnley",15.2,"FW",3,0,2,21,145,5,19,7,60,28,6,114,5,452,NULL,NULL,NULL,NULL,NULL
"Chris Wood","Newcastle Utd",14.7,"FW",2,0,2,21,163,2,13,10,67,13,8,146,4,460,NULL,NULL,NULL,NULL,NULL
"Christian Benteke","Crystal Palace",12.7,"FW",4,1,1,20,113,2,17,11,32,11,30,88,9,462,NULL,NULL,NULL,NULL,NULL
"Christian Eriksen","Brentford",10.4,"MF",1,4,7,53,66,30,65,32,32,33,11,6,7,743,NULL,NULL,NULL,NULL,NULL
"Christian Kabasele","Watford",13.3,"DF",0,0,0,5,67,1,25,1,35,65,58,50,0,592,NULL,NULL,NULL,NULL,NULL
"Christian Nørgaard","Brentford",33.9,"MF",3,4,6,49,280,14,163,29,218,224,57,61,13,2056,NULL,NULL,NULL,NULL,NULL
"Christian Pulisic","Chelsea",14.3,"MFFW",6,2,2,33,116,13,30,15,72,38,9,15,20,681,NULL,NULL,NULL,NULL,NULL
"Christoph Zimmermann","Norwich City",1.7,"DF",0,0,0,0,9,0,3,0,9,6,3,2,1,80,NULL,NULL,NULL,NULL,NULL
"Christos Tzolis","Norwich City",3.7,"FWMF",0,0,0,11,43,9,7,8,14,8,2,4,0,145,NULL,NULL,NULL,NULL,NULL
"Ciaran Clark","Newcastle Utd",11.3,"DF",0,1,1,5,37,3,15,4,27,42,50,34,3,449,NULL,NULL,NULL,NULL,NULL
"CJ Egan-Riley","Manchester City",0,"DF",0,0,0,0,1,0,0,0,0,1,0,0,0,1,NULL,NULL,NULL,NULL,NULL
"Cody Drameh","Leeds United",1.4,"DF",0,0,0,2,6,2,6,1,8,8,2,0,2,94,NULL,NULL,NULL,NULL,NULL
"Cole Palmer","Manchester City",1.4,"FWMF",0,0,1,7,13,4,5,2,6,6,0,2,1,76,NULL,NULL,NULL,NULL,NULL
"Connor Roberts","Burnley",18.8,"DF",1,1,1,22,81,28,63,13,46,104,55,19,8,1035,NULL,NULL,NULL,NULL,NULL
"Conor Coady","Wolves",37.3,"DF",4,0,0,7,126,2,44,2,68,126,150,39,1,1930,NULL,NULL,NULL,NULL,NULL
"Conor Gallagher","Crystal Palace",31.6,"MF",8,3,13,89,205,67,62,35,221,143,27,35,45,1588,NULL,NULL,NULL,NULL,NULL
"Craig Cathcart","Watford",26.6,"DF",0,1,0,5,112,3,40,2,51,108,129,63,0,1176,NULL,NULL,NULL,NULL,NULL
"Craig Dawson","West Ham",30.6,"DF",2,2,5,11,161,1,45,3,67,117,145,103,2,1541,NULL,NULL,NULL,NULL,NULL
"Cristian Romero","Tottenham",20.5,"DF",1,0,2,17,160,2,52,6,113,152,78,50,9,1533,NULL,NULL,NULL,NULL,NULL
"Cristiano Ronaldo","Manchester Utd",27.3,"FW",18,3,9,76,175,12,49,24,49,25,31,48,19,1184,NULL,NULL,NULL,NULL,NULL
"Crysencio Summerville","Leeds United",1.4,"MFFW",0,0,0,2,11,4,7,2,9,11,0,1,3,93,NULL,NULL,NULL,NULL,NULL
"Cucho","Watford",12.7,"FWMF",5,2,6,40,88,26,33,19,57,28,10,39,23,557,NULL,NULL,NULL,NULL,NULL
"Curtis Jones","Liverpool",9.5,"MF",1,1,2,26,90,2,35,9,61,24,2,7,18,694,NULL,NULL,NULL,NULL,NULL
"Dale Stephens","Burnley",1.4,"MF",0,0,0,2,14,0,3,1,14,8,1,1,0,74,NULL,NULL,NULL,NULL,NULL
"Dan Burn","Brighton",11.4,"DF",1,0,0,5,55,1,37,1,45,76,52,40,1,773,NULL,NULL,NULL,NULL,NULL
"Dan Burn","Newcastle Utd",16,"DF",0,1,1,4,94,1,27,2,56,74,114,90,0,780,NULL,NULL,NULL,NULL,NULL
"Dan Gosling","Watford",1.8,"MF",1,0,0,2,16,1,4,1,7,3,3,5,0,85,NULL,NULL,NULL,NULL,NULL
"Dane Scarlett","Tottenham",0,"MF",0,0,0,0,1,0,0,0,0,0,0,0,1,1,NULL,NULL,NULL,NULL,NULL
"Daniel Amartey","Leicester City",23.6,"DF",0,0,1,17,137,0,59,3,54,90,110,45,6,1702,NULL,NULL,NULL,NULL,NULL
"Daniel Bachmann","Watford",12,"GK",0,0,0,0,19,0,0,0,0,0,0,0,1,394,45,0,89,3,8
"Daniel Chesters","West Ham",0,"MF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL
"Daniel James","Manchester Utd",1.4,"FW",0,0,0,3,6,5,0,1,8,6,1,0,0,53,NULL,NULL,NULL,NULL,NULL
"Daniel James","Leeds United",26.3,"FWMF",4,4,5,53,104,44,49,23,149,60,12,16,18,786,NULL,NULL,NULL,NULL,NULL
"Daniel Podence","Wolves",16.5,"FWMF",2,3,4,62,128,34,77,35,67,28,0,2,33,839,NULL,NULL,NULL,NULL,NULL
"Danny Ings","Aston Villa",21.1,"FW",7,6,8,31,93,17,27,16,89,56,19,23,11,623,NULL,NULL,NULL,NULL,NULL
"Danny Rose","Watford",7.7,"DF",0,0,1,11,25,15,32,5,34,44,13,4,9,409,NULL,NULL,NULL,NULL,NULL
"Danny Ward","Leicester City",1,"GK",0,0,1,1,1,0,0,0,0,0,0,0,0,38,4,0,3,3,0
"Danny Welbeck","Brighton",16.4,"FW",6,2,4,36,81,6,16,15,90,37,18,47,13,501,NULL,NULL,NULL,NULL,NULL
"David de Gea","Manchester Utd",38,"GK",0,0,0,3,61,0,0,0,0,0,0,0,0,1011,124,8,139,10,9
"David Raya","Brentford",24,"GK",0,0,0,2,80,0,3,1,0,1,0,0,0,1112,75,8,254,15,26
"Davinson Sánchez","Tottenham",18.1,"DF",2,0,1,16,105,2,52,4,66,91,76,56,3,1290,NULL,NULL,NULL,NULL,NULL
"Declan Rice","West Ham",35.3,"MF",1,4,8,59,309,37,149,24,154,208,53,48,37,2508,NULL,NULL,NULL,NULL,NULL
"Dejan Kulusevski","Tottenham",14,"MFFW",5,8,14,47,82,24,37,26,79,53,1,5,28,634,NULL,NULL,NULL,NULL,NULL
"Dele Alli","Everton",3.8,"MF",0,0,1,10,34,4,12,7,34,29,7,8,4,232,NULL,NULL,NULL,NULL,NULL
"Dele Alli","Tottenham",7.3,"MFFW",1,0,1,8,42,3,19,2,55,49,12,11,5,331,NULL,NULL,NULL,NULL,NULL
"Demarai Gray","Everton",26,"MFFW",5,4,6,83,156,57,45,41,109,73,15,6,47,1108,NULL,NULL,NULL,NULL,NULL
"Diego Llorente","Leeds United",26,"DF",3,0,0,6,194,2,69,2,140,157,105,65,9,1645,NULL,NULL,NULL,NULL,NULL
"Dimitris Giannoulis","Norwich City",13,"DF",0,1,2,17,97,30,43,8,54,97,31,10,27,881,NULL,NULL,NULL,NULL,NULL
"Diogo Dalot","Manchester Utd",20,"DF",0,0,5,37,143,46,99,16,72,114,61,38,16,1402,NULL,NULL,NULL,NULL,NULL
"Diogo Jota","Liverpool",26.3,"FW",15,4,14,87,156,16,71,37,164,57,6,37,32,1129,NULL,NULL,NULL,NULL,NULL
"Divock Origi","Liverpool",1.5,"FW",3,0,2,2,11,1,2,0,5,5,1,3,1,68,NULL,NULL,NULL,NULL,NULL
"Dominic Calvert-Lewin","Everton",14.3,"FW",5,2,4,30,142,3,12,12,49,28,12,97,6,463,NULL,NULL,NULL,NULL,NULL
"Dominic Thompson","Brentford",1.6,"DF",0,0,0,1,4,1,1,0,3,6,4,1,0,56,NULL,NULL,NULL,NULL,NULL
"Donny van de Beek","Everton",5.4,"MF",1,0,0,5,38,6,14,2,26,25,5,6,4,298,NULL,NULL,NULL,NULL,NULL
"Donny van de Beek","Manchester Utd",0.8,"MF",1,0,0,5,8,0,3,3,6,7,2,3,3,53,NULL,NULL,NULL,NULL,NULL
"Douglas Luiz","Aston Villa",30.2,"MF",2,3,8,75,173,27,101,36,156,148,29,37,15,1783,NULL,NULL,NULL,NULL,NULL
"Dwight Gayle","Newcastle Utd",0.4,"FW",0,0,0,2,3,0,1,2,5,1,0,1,0,23,NULL,NULL,NULL,NULL,NULL
"Dwight McNeil","Burnley",34.5,"MF",0,1,5,97,245,111,71,47,172,185,20,20,75,1597,NULL,NULL,NULL,NULL,NULL
"Eberechi Eze","Crystal Palace",6.7,"MFFW",1,1,2,22,67,10,28,9,24,20,1,12,12,387,NULL,NULL,NULL,NULL,NULL
"Eddie Nketiah","Arsenal",9.3,"FW",5,1,4,23,35,11,10,11,50,20,7,9,10,373,NULL,NULL,NULL,NULL,NULL
"Ederson","Manchester City",37,"GK",0,0,0,4,93,0,1,1,0,0,0,0,0,1148,56,20,155,16,34
"Edinson Cavani","Manchester Utd",8.5,"FW",2,1,2,11,36,3,9,8,39,20,7,5,4,296,NULL,NULL,NULL,NULL,NULL
"Edo Kayembe","Watford",8.9,"MF",0,0,0,13,76,4,34,6,47,42,20,11,5,521,NULL,NULL,NULL,NULL,NULL
"Edouard Mendy","Chelsea",34,"GK",0,0,0,2,106,0,0,0,1,0,1,0,0,1011,70,14,114,19,19
"Ellis Simms","Everton",0.7,"FW",0,0,0,1,7,0,0,0,3,2,0,3,0,19,NULL,NULL,NULL,NULL,NULL
"Emerson","Tottenham",25.4,"DF",1,1,4,49,199,60,81,26,126,130,79,41,18,1774,NULL,NULL,NULL,NULL,NULL
"Emerson Palmieri","Chelsea",0.1,"DF",0,0,0,0,1,0,0,0,0,0,0,0,0,2,NULL,NULL,NULL,NULL,NULL
"Emi Buendía","Aston Villa",21.1,"FWMF",4,6,10,74,188,19,108,45,108,73,6,24,30,1165,NULL,NULL,NULL,NULL,NULL
"Emil Krafth","Newcastle Utd",18.2,"DF",0,1,1,13,98,18,53,5,64,106,53,32,3,948,NULL,NULL,NULL,NULL,NULL
"Emile Smith Rowe","Arsenal",21.3,"MFFW",10,2,6,65,100,21,57,29,78,51,13,8,32,1037,NULL,NULL,NULL,NULL,NULL
"Emiliano Martínez","Aston Villa",36,"GK",0,0,1,3,92,0,0,0,0,1,1,0,1,1141,93,11,205,17,25
"Emmanuel Dennis","Watford",28.7,"FWMF",10,6,12,91,160,29,60,33,146,88,14,59,73,1101,NULL,NULL,NULL,NULL,NULL
"Enock Mwepu","Brighton",11.1,"MFFW",2,4,7,22,85,9,19,8,57,54,19,12,12,557,NULL,NULL,NULL,NULL,NULL
"Eric Bailly","Manchester Utd",2.4,"DF",0,0,0,1,10,0,3,0,9,16,10,5,0,113,NULL,NULL,NULL,NULL,NULL
"Eric Dier","Tottenham",34.1,"DF",0,0,4,28,163,3,93,8,70,116,168,89,0,2535,NULL,NULL,NULL,NULL,NULL
"Erik Pieters","Burnley",8.1,"DF",0,1,1,7,47,4,22,1,40,64,27,13,3,457,NULL,NULL,NULL,NULL,NULL
"Ethan Pinnock","Brentford",29.9,"DF",1,1,3,20,196,28,58,10,102,143,175,151,5,1925,NULL,NULL,NULL,NULL,NULL
"Evan Ferguson","Brighton",0.3,"MF",0,0,0,0,4,1,0,0,0,0,0,1,0,9,NULL,NULL,NULL,NULL,NULL
"Ezri Konsa","Aston Villa",27.5,"DF",2,0,0,10,113,1,33,4,64,102,81,60,6,1205,NULL,NULL,NULL,NULL,NULL
"Fabian Delph","Everton",7.4,"MF",0,0,0,5,63,1,26,3,39,45,9,5,6,384,NULL,NULL,NULL,NULL,NULL
"Fabian Schär","Newcastle Utd",24,"DF",2,2,4,24,101,6,44,6,47,123,121,51,8,1223,NULL,NULL,NULL,NULL,NULL
"Fabinho","Liverpool",25.7,"MF",5,1,5,39,230,6,107,15,131,144,30,45,8,1786,NULL,NULL,NULL,NULL,NULL
"Fábio Silva","Wolves",6.4,"FW",0,0,1,16,34,4,13,4,44,10,2,14,5,215,NULL,NULL,NULL,NULL,NULL
"Federico Fernández","Newcastle Utd",5.8,"DF",0,0,1,3,20,0,8,1,4,25,23,10,0,267,NULL,NULL,NULL,NULL,NULL
"Fernandinho","Manchester City",10.7,"MFDF",2,1,4,30,104,4,59,10,45,36,23,21,8,906,NULL,NULL,NULL,NULL,NULL
"Fernando Marçal","Wolves",16.1,"DF",0,0,1,17,108,55,50,10,67,99,54,29,9,1084,NULL,NULL,NULL,NULL,NULL
"Ferrán Torres","Manchester City",3.4,"FW",2,1,2,5,16,2,2,1,13,8,0,1,4,104,NULL,NULL,NULL,NULL,NULL
"Finley Stevens","Brentford",0.2,"DF",0,0,0,1,2,0,2,1,1,0,0,1,0,10,NULL,NULL,NULL,NULL,NULL
"Folarin Balogun","Arsenal",0.8,"FW",0,0,0,0,3,0,0,0,5,1,1,1,0,23,NULL,NULL,NULL,NULL,NULL
"Francisco Sierralta","Watford",4.7,"DF",0,0,0,1,17,0,3,0,10,27,40,18,1,244,NULL,NULL,NULL,NULL,NULL
"Francisco Trincão","Wolves",14.8,"FWMF",2,1,2,39,92,24,32,15,94,51,1,5,44,683,NULL,NULL,NULL,NULL,NULL
"Frank Onyeka","Brentford",11.6,"MF",0,0,1,17,61,6,22,4,69,51,13,15,9,469,NULL,NULL,NULL,NULL,NULL
"Fraser Forster","Southampton",19,"GK",0,0,0,2,45,0,0,0,1,0,4,0,0,679,67,3,123,18,14
"Fred","Manchester Utd",22.5,"MF",4,4,8,57,210,2,108,26,141,134,30,16,17,1605,NULL,NULL,NULL,NULL,NULL
"Freddie Woodman","Newcastle Utd",4,"GK",0,0,0,0,3,0,0,0,0,0,0,0,0,128,9,0,22,2,0
"Gabriel Dos Santos","Arsenal",34,"DF",5,0,1,22,178,4,83,8,86,125,117,68,3,2300,NULL,NULL,NULL,NULL,NULL
"Gabriel Jesus","Manchester City",20.9,"FW",8,8,18,78,140,27,53,35,72,55,7,21,40,1033,NULL,NULL,NULL,NULL,NULL
"Giovani Lo Celso","Tottenham",2.6,"MFFW",0,0,0,10,25,1,6,5,14,13,0,0,6,196,NULL,NULL,NULL,NULL,NULL
"Granit Xhaka","Arsenal",25.9,"MFDF",1,2,3,79,193,18,145,35,84,91,28,36,18,1767,NULL,NULL,NULL,NULL,NULL
"Grant Hanley","Norwich City",32.2,"DF",1,0,0,10,127,1,29,4,102,180,196,116,4,1662,NULL,NULL,NULL,NULL,NULL
"Hakim Ziyech","Chelsea",14.7,"FWMF",4,3,7,64,96,65,76,30,78,49,9,11,35,974,NULL,NULL,NULL,NULL,NULL
"Hamza Choudhury","Leicester City",3.2,"DFMF",0,0,0,1,38,0,5,0,6,23,12,14,1,207,NULL,NULL,NULL,NULL,NULL
"Hannibal Mejbri","Manchester Utd",0.8,"FW",0,0,0,0,5,0,0,0,6,1,0,0,1,32,NULL,NULL,NULL,NULL,NULL
