"player","squad","played_per90","pos","goals","assists","gca","sca","passes_under_pressure","passes_crosses","passes_progressive","passes_key","pressures","tot_def","clearances","aerial_won","dribble_success","touches","saves","clean_sheets","passes_40yds_completed","crosses_stopped","outside_area_sweep"
"John Stones","Manchester City",12.4,"DF",1,0,1,14,127,1,43,3,22,30,41,54,6,1061,NULL,NULL,NULL,NULL,NULL
"Jon Rowe","Norwich City",2.5,"FWMF",0,1,1,6,16,5,4,4,16,14,0,2,5,116,NULL,NULL,NULL,NULL,NULL
"Jonas Lössl","Brentford",2,"GK",0,0,0,0,5,0,1,0,0,0,0,0,0,66,2,0,13,0,4
"Jonjo Shelvey","Newcastle Utd",22,"MF",2,1,2,42,120,13,70,16,70,77,33,13,9,1098,NULL,NULL,NULL,NULL,NULL
"Jonjoe Kenny","Everton",11.3,"DF",0,1,2,20,74,15,31,11,51,61,21,13,3,581,NULL,NULL,NULL,NULL,NULL
"Jonny Castro","Wolves",11.4,"DF",2,0,0,18,85,10,31,10,58,53,7,11,12,739,NULL,NULL,NULL,NULL,NULL
"Jonny Evans","Leicester City",15,"DF",1,1,2,8,129,3,44,3,49,71,61,53,1,1106,NULL,NULL,NULL,NULL,NULL
"Jordan Ayew","Crystal Palace",22.4,"FW",3,3,6,47,136,50,48,21,146,99,9,31,38,1134,NULL,NULL,NULL,NULL,NULL
"Jordan Henderson","Liverpool",28.9,"MF",2,5,11,78,301,48,176,38,146,98,17,23,17,2403,NULL,NULL,NULL,NULL,NULL
"Jordan Pickford","Everton",35,"GK",0,0,1,7,84,0,0,4,1,2,1,0,1,1243,114,7,291,22,26
"Jorginho","Chelsea",25.3,"MF",6,2,8,60,324,3,140,25,175,141,21,20,13,2087,NULL,NULL,NULL,NULL,NULL
"José Sá","Wolves",36.5,"GK",0,1,1,4,48,0,1,4,3,1,3,0,2,1201,120,11,166,34,40
"Josh Brownhill","Burnley",32.8,"MF",2,3,4,66,217,25,92,40,168,171,49,56,15,1523,NULL,NULL,NULL,NULL,NULL
"Josh Dasilva","Brentford",2.9,"MFFW",0,0,0,5,19,4,7,2,12,14,7,1,7,131,NULL,NULL,NULL,NULL,NULL
"Josh Sargent","Norwich City",17.5,"FWMF",2,1,2,26,121,13,20,13,100,81,18,42,18,652,NULL,NULL,NULL,NULL,NULL
"Joshua King","Watford",25,"FW",5,3,7,60,185,24,30,35,134,54,27,93,36,864,NULL,NULL,NULL,NULL,NULL
"Juan Mata","Manchester Utd",2.6,"MF",0,0,0,6,26,6,9,2,15,9,2,0,4,240,NULL,NULL,NULL,NULL,NULL
"Junior Firpo","Leeds United",19,"DF",0,2,4,43,133,27,74,24,103,108,46,32,10,1161,NULL,NULL,NULL,NULL,NULL
"Juraj Kucka","Watford",21.3,"MF",1,1,2,37,141,10,57,10,135,132,50,55,21,1037,NULL,NULL,NULL,NULL,NULL
"Jürgen Locadia","Brighton",0.3,"FW",0,0,0,0,1,0,0,0,3,1,0,0,1,6,NULL,NULL,NULL,NULL,NULL
"Kai Havertz","Chelsea",20.1,"FWMF",8,3,7,53,166,20,46,20,95,56,30,40,21,975,NULL,NULL,NULL,NULL,NULL
"Kaide Gordon","Liverpool",0.1,"FW",0,0,0,0,1,0,0,0,3,0,0,0,0,8,NULL,NULL,NULL,NULL,NULL
